Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,18.0,Male,14.0,Single,3.0,4.0,29562.0,112.0
TM195,19.0,Male,15.0,Single,2.0,3.0,31836.0,75.0
TM195,19.0,Female,14.0,Partnered,4.0,3.0,30699.0,66.0
TM195,19.0,Male,12.0,Single,3.0,3.0,32973.0,85.0
TM195,20.0,Male,13.0,Partnered,4.0,2.0,35247.0,47.0
TM195,20.0,Female,14.0,Partnered,3.0,3.0,32973.0,66.0
TM195,21.0,Female,14.0,Partnered,3.0,3.0,35247.0,75.0
TM195,21.0,Male,13.0,Single,3.0,3.0,32973.0,85.0
TM195,21.0,Male,15.0,Single,5.0,4.0,35247.0,141.0
TM195,21.0,Female,15.0,Partnered,2.0,3.0,37521.0,85.0
TM195,22.0,Male,14.0,Single,3.0,3.0,36384.0,85.0
TM195,22.0,Female,14.0,Partnered,3.0,2.0,35247.0,66.0
TM195,22.0,Female,16.0,Single,4.0,3.0,36384.0,75.0
TM195,22.0,Female,14.0,Single,3.0,3.0,35247.0,75.0
TM195,23.0,Male,16.0,Partnered,3.0,3.0,40932.0,75.0
TM195,23.0,Female,14.0,Single,2.0,3.0,34110.0,103.0
TM195,23.0,Male,16.0,Partnered,4.0,3.0,39795.0,94.0
TM195,23.0,Female,16.0,Single,4.0,3.0,38658.0,113.0
TM195,23.0,Female,15.0,Partnered,2.0,2.0,34110.0,38.0
TM195,23.0,Male,14.0,Single,4.0,3.0,38658.0,113.0
TM195,23.0,Male,16.0,Single,4.0,3.0,40932.0,94.0
TM195,24.0,Female,16.0,Single,4.0,3.0,42069.0,94.0
TM195,24.0,Male,14.0,Single,2.0,3.0,45480.0,113.0
TM195,24.0,Male,13.0,Partnered,3.0,2.0,42069.0,47.0
TM195,24.0,Female,16.0,Single,4.0,3.0,46617.0,75.0
TM195,25.0,Female,14.0,Partnered,3.0,3.0,48891.0,75.0
TM195,25.0,Male,14.0,Partnered,2.0,3.0,45480.0,56.0
TM195,25.0,Female,14.0,Partnered,2.0,2.0,53439.0,47.0
TM195,25.0,Female,14.0,Partnered,3.0,3.0,39795.0,85.0
TM195,25.0,Male,16.0,Single,3.0,4.0,40932.0,113.0
TM195,25.0,Female,16.0,Partnered,2.0,2.0,40932.0,47.0
TM195,25.0,Male,16.0,Single,3.0,3.0,43206.0,85.0
TM195,26.0,Female,14.0,Partnered,3.0,4.0,44343.0,113.0
TM195,26.0,Female,16.0,Partnered,4.0,3.0,52302.0,113.0
TM195,26.0,Male,16.0,Partnered,2.0,2.0,53439.0,47.0
TM195,26.0,Male,16.0,Partnered,3.0,3.0,51165.0,85.0
TM195,26.0,Female,16.0,Single,3.0,3.0,36384.0,66.0
TM195,26.0,Male,16.0,Partnered,4.0,4.0,44343.0,132.0
TM195,26.0,Male,16.0,Single,3.0,3.0,50028.0,85.0
TM195,27.0,Female,14.0,Partnered,3.0,2.0,45480.0,66.0
TM195,27.0,Male,16.0,Single,4.0,3.0,54576.0,85.0
TM195,27.0,Female,14.0,Partnered,2.0,3.0,45480.0,56.0
TM195,28.0,Female,14.0,Partnered,2.0,3.0,46617.0,56.0
TM195,28.0,Female,16.0,Partnered,2.0,3.0,52302.0,66.0
TM195,28.0,Male,14.0,Single,3.0,3.0,52302.0,103.0
TM195,28.0,Female,14.0,Partnered,3.0,3.0,54576.0,94.0
TM195,28.0,Male,14.0,Single,4.0,3.0,54576.0,113.0
TM195,28.0,Female,16.0,Partnered,3.0,3.0,51165.0,56.0
TM195,29.0,Male,18.0,Partnered,3.0,3.0,68220.0,85.0
TM195,29.0,Female,14.0,Partnered,2.0,2.0,46617.0,38.0
TM195,29.0,Female,16.0,Partnered,4.0,3.0,50028.0,94.0
TM195,30.0,Male,14.0,Partnered,4.0,4.0,46617.0,141.0
TM195,30.0,Male,14.0,Single,3.0,3.0,54576.0,85.0
TM195,31.0,Male,14.0,Partnered,2.0,2.0,54576.0,47.0
TM195,31.0,Female,14.0,Single,2.0,2.0,45480.0,47.0
TM195,32.0,Female,14.0,Single,3.0,4.0,46617.0,113.0
TM195,32.0,Male,14.0,Partnered,4.0,3.0,52302.0,85.0
TM195,33.0,Female,16.0,Single,2.0,2.0,55713.0,38.0
TM195,33.0,Female,16.0,Partnered,3.0,3.0,46617.0,85.0
TM195,34.0,Male,16.0,Single,4.0,5.0,51165.0,169.0
TM195,34.0,Female,16.0,Single,2.0,2.0,52302.0,66.0
TM195,35.0,Male,16.0,Partnered,4.0,3.0,48891.0,85.0
TM195,35.0,Female,16.0,Partnered,3.0,3.0,60261.0,94.0
TM195,35.0,Female,18.0,Single,3.0,3.0,67083.0,85.0
TM195,36.0,Male,12.0,Single,4.0,3.0,44343.0,94.0
TM195,37.0,Female,16.0,Partnered,3.0,3.0,37521.0,85.0
TM195,38.0,Male,16.0,Partnered,3.0,3.0,46617.0,75.0
TM195,38.0,Female,14.0,Partnered,2.0,3.0,54576.0,56.0
TM195,38.0,Male,14.0,Single,2.0,3.0,52302.0,56.0
TM195,38.0,Male,16.0,Partnered,3.0,3.0,56850.0,75.0
TM195,39.0,Male,16.0,Partnered,4.0,4.0,59124.0,132.0
TM195,40.0,Male,16.0,Partnered,3.0,3.0,61398.0,66.0
TM195,41.0,Male,16.0,Partnered,4.0,3.0,54576.0,103.0
TM195,43.0,Male,16.0,Partnered,3.0,3.0,53439.0,66.0
TM195,44.0,Female,16.0,Single,3.0,4.0,57987.0,75.0
TM195,46.0,Female,16.0,Partnered,3.0,2.0,60261.0,47.0
TM498,19.0,Male,14.0,Single,3.0,3.0,31836.0,64.0
TM498,20.0,Male,14.0,Single,2.0,3.0,32973.0,53.0
TM498,20.0,Female,14.0,Partnered,3.0,3.0,34110.0,106.0
TM498,20.0,Male,14.0,Single,3.0,3.0,38658.0,95.0
TM498,21.0,Male,16.0,Partnered,2.0,2.0,34110.0,42.0
TM498,21.0,Male,12.0,Partnered,2.0,2.0,32973.0,53.0
TM498,23.0,Male,14.0,Partnered,3.0,3.0,36384.0,95.0
TM498,23.0,Male,14.0,Partnered,3.0,3.0,38658.0,85.0
TM498,23.0,Female,16.0,Single,3.0,3.0,45480.0,95.0
TM498,23.0,Male,16.0,Partnered,4.0,3.0,45480.0,127.0
TM498,23.0,Female,16.0,Partnered,3.0,2.0,43206.0,74.0
TM498,23.0,Female,14.0,Single,3.0,2.0,40932.0,53.0
TM498,23.0,Male,16.0,Partnered,3.0,3.0,45480.0,64.0
TM498,24.0,Female,14.0,Single,3.0,2.0,40932.0,85.0
TM498,24.0,Male,14.0,Single,3.0,4.0,48891.0,106.0
TM498,24.0,Female,16.0,Single,3.0,3.0,50028.0,106.0
TM498,25.0,Female,14.0,Partnered,2.0,3.0,45480.0,85.0
TM498,25.0,Female,14.0,Single,3.0,4.0,43206.0,127.0
TM498,25.0,Male,16.0,Partnered,2.0,2.0,52302.0,42.0
TM498,25.0,Female,14.0,Partnered,5.0,3.0,47754.0,106.0
TM498,25.0,Male,14.0,Single,3.0,3.0,45480.0,95.0
TM498,25.0,Female,14.0,Single,2.0,3.0,43206.0,64.0
TM498,25.0,Male,14.0,Partnered,4.0,3.0,45480.0,170.0
TM498,25.0,Male,14.0,Partnered,3.0,4.0,43206.0,106.0
TM498,25.0,Male,16.0,Partnered,2.0,3.0,50028.0,53.0
TM498,25.0,Female,14.0,Single,2.0,2.0,45480.0,42.0
TM498,25.0,Male,14.0,Single,4.0,3.0,48891.0,127.0
TM498,26.0,Female,16.0,Partnered,4.0,3.0,45480.0,85.0
TM498,26.0,Female,16.0,Single,4.0,4.0,50028.0,127.0
TM498,26.0,Male,16.0,Single,4.0,3.0,51165.0,106.0
TM498,27.0,Male,14.0,Single,4.0,2.0,45480.0,53.0
TM498,29.0,Female,14.0,Partnered,3.0,3.0,51165.0,95.0
TM498,30.0,Female,14.0,Single,3.0,3.0,57987.0,74.0
TM498,30.0,Female,13.0,Single,4.0,3.0,46617.0,106.0
TM498,31.0,Male,16.0,Partnered,3.0,3.0,52302.0,95.0
TM498,31.0,Female,16.0,Partnered,2.0,3.0,51165.0,64.0
TM498,32.0,Male,16.0,Single,4.0,3.0,60261.0,127.0
TM498,32.0,Male,16.0,Partnered,3.0,3.0,53439.0,95.0
TM498,33.0,Male,13.0,Partnered,4.0,4.0,53439.0,170.0
TM498,33.0,Female,16.0,Partnered,2.0,3.0,50028.0,85.0
TM498,33.0,Male,16.0,Partnered,3.0,3.0,51165.0,95.0
TM498,33.0,Female,16.0,Partnered,5.0,3.0,53439.0,95.0
TM498,33.0,Female,18.0,Single,3.0,4.0,47754.0,74.0
TM498,34.0,Female,16.0,Partnered,4.0,3.0,64809.0,95.0
TM498,34.0,Male,16.0,Partnered,3.0,4.0,59124.0,85.0
TM498,34.0,Male,15.0,Single,3.0,3.0,67083.0,85.0
TM498,35.0,Female,14.0,Partnered,3.0,2.0,52302.0,53.0
TM498,35.0,Male,16.0,Partnered,3.0,2.0,53439.0,53.0
TM498,35.0,Female,16.0,Single,3.0,2.0,50028.0,64.0
TM498,35.0,Male,16.0,Partnered,3.0,3.0,53439.0,95.0
TM498,37.0,Female,16.0,Partnered,2.0,3.0,48891.0,85.0
TM498,38.0,Female,16.0,Partnered,4.0,3.0,62535.0,85.0
TM498,38.0,Male,16.0,Partnered,3.0,3.0,59124.0,106.0
TM498,40.0,Female,16.0,Partnered,3.0,3.0,61398.0,85.0
TM498,40.0,Female,16.0,Single,3.0,3.0,57987.0,85.0
TM498,40.0,Male,16.0,Partnered,3.0,3.0,64809.0,95.0
TM498,45.0,Male,16.0,Partnered,2.0,2.0,54576.0,42.0
TM798,22.0,Male,14.0,Single,4.0,3.0,48658.0,106.0
TM798,22.0,Male,16.0,Single,3.0,5.0,54781.0,120.0
TM798,23.0,Male,16.0,Single,4.0,5.0,58516.0,140.0
TM798,23.0,Female,18.0,Single,5.0,4.0,53536.0,100.0
TM798,23.0,Male,16.0,Single,4.0,5.0,48556.0,100.0
TM798,24.0,Male,16.0,Single,4.0,5.0,61006.0,100.0
TM798,24.0,Male,18.0,Partnered,4.0,5.0,57271.0,80.0
TM798,24.0,Male,16.0,Single,5.0,5.0,49801.0,160.0
TM798,25.0,Male,16.0,Partnered,4.0,5.0,49801.0,120.0
TM798,25.0,Male,16.0,Partnered,4.0,4.0,62251.0,160.0
TM798,25.0,Male,18.0,Partnered,4.0,3.0,64741.0,100.0
TM798,26.0,Male,16.0,Partnered,5.0,4.0,64741.0,180.0
TM798,29.0,Male,18.0,Single,5.0,5.0,52290.0,180.0
